1171,Budapest X. kerület,Budapest,29 912,"18,4 km²"
1172,Budapest X. kerület,Budapest,18 891,"8,8 km²"
1173,Budapest X. kerület,Budapest,22 181,"8,6 km²"
1181,Budapest X. kerület,Budapest,10 061,"2,367 km²"
1182,Budapest X. kerület,Budapest,17 534,6 km²
1183,Budapest X. kerület,Budapest,15 907,"4,97 km²"
1184,Budapest X. kerület,Budapest,9 949,"2,152 km²"
1185,Budapest X. kerület,Budapest,19 645,"9,6 km²"
1186,Budapest X. kerület,Budapest,4 701,"1,565 km²"
1188,Budapest X. kerület,Budapest,25 224,"11,1 km²"
1191,Budapest X. kerület,Budapest,8 905,"1,478 km²"
1192,Budapest X. kerület,Budapest,11 038,"1,707 km²"
1193,Budapest X. kerület,Budapest,6 302,"0,969 km²"
1194,Budapest X. kerület,Budapest,16 950,"2,96 km²"
1195,Budapest X. kerület,Budapest,5 561,"0,8 km²"
1196,Budapest X. kerület,Budapest,11 786,"1,622 km²"
1201,Budapest X. kerület,Budapest,15 320,"2,36 km²"
1202,Budapest X. kerület,Budapest,12 931,"2,536 km²"
1203,Budapest X. kerület,Budapest,11 560,"2,055 km²"
1204,Budapest X. kerület,Budapest,14 244,"3,375 km²"
1205,Budapest X. kerület,Budapest,9 471,"1,429 km²"
1211,Budapest X. kerület,Budapest,21 526,"8,3 km²"
1212,Budapest X. kerület,Budapest,10 919,"2,945 km²"
1213,Budapest X. kerület,Budapest,19 765,"4,977 km²"
1214,Budapest X. kerület,Budapest,18 851,"8,1 km²"
1215,Budapest X. kerület,Budapest,5 958,"1,787 km²"
1221,Budapest X. kerület,Budapest,12 382,"4,331 km²"
1222,Budapest X. kerület,Budapest,13 340,"6,3 km²"
1223,Budapest X. kerület,Budapest,10 942,"5,2 km²"
1225,Budapest X. kerület,Budapest,12 562,"9,2 km²"
1237,Budapest X. kerület,Budapest,5 103,"2,607 km²"
1239,Budapest X. kerület,Budapest,,
